index,text,value
1,Amazonu fiyat avantajı ve kaliteli kargo hizmeti için tercih ediyorum ve genellikle güvemdiğimden başka sitelere bile bakmadan alışveriş yapıyorum. Bu alışverişi de aynı şekilde yaptım bir arkadaşıma tavsiye ettim o da alternatiflere bakarken trendyolda 150-200 TL kadar daha ucuza buldu… bu durum bence üzücü koşulsuz güven çok rahattı benim için,2
2,fiyat avantajı ve kaliteli kargo hizmeti,2
3,Aralık ayında Pasaport başvurusu yaptım ama 4 ay oldu gelmiyor. Yurt dışına çıkmam lazım vize alamam lazım Acil gelmesi gerekiyor lütfen yardımcı olabilir misiniz ? @TCNufusDestek @TCNufus @sefikaygol,2
4,Acil gelmesi gerekiyor,2
5,THY ile yaptığım uçuşta bagajım kayboldu. Yardımcı olmuyorlar ve sürekli oyalıyorlar. Yazık.,2
6,4 ay oldu gelmiyor,2
7,bagajım kayboldu,2
8,@ItalyinTurkey @AFADBaskanlik @echo_Europe @ABBaskanligi @EUDelegationTur @regionepiemonte @disisleridestek @ariffinike Teşekkür ederim iyi ki varsınız. 💐💐💐,1
9,Yardımcı olmuyorlar,2
10,Arçelik TV kullanıcısıyım daha önce hiç internete bağlamış değiliz Sürekli kablosuz bağlantı aparatı çıkarıldı ve takıldı diye yazı geliyor ekrana bu yazı gerçekten sinir bozucu Sorun ne olabilir yetkililerden yardım bekliyorum Acil bir şekilde bu arıza bizi Arçelik'ten soğutuyor Yardımcı olur musunuz,2
11,Teşekkür ederim,1
12,Trendyol Express Kargo Bodrum sakın almayın Telefonunuzu açmazsanız kargonuz teslim edilmiyor !!!@TrendyolDestek @Trendyol,2
13,Bu nasıl bir şirket bu kadar bekledim başka bir yere bağlıyorum dedi hat düştü... @DSmartDestek @DSmartDunyasi,2
14,iyi ki varsınız 💐💐💐,1
15,kablosuz bağlantı aparatı çıkarıldı ve takıldı diye yazı geliyor,2
16,İşte sorumuz: “Bir Kızıl Gonca” türküsünde boşluğu sen dolduracak olsan ne söylerdin? ‘Her gören göğsüme taksam seni der _________ der.’,0
17,@LCWaikiki mağazasında alışveriş yaparken kasiyer çok kaba davrandı. Bir daha gitmeyi düşünmüyorum.,2
18,sinir bozucu,2
19,@Zara'dan aldığım elbise çok hoşuma gitti ama dikişlerinde problem var. İade edeceğim.,3
20,bu arıza bizi Arçelik'ten soğutuyor,2
21,sakın almayın Telefonunuzu açmazsanız kargonuz teslim edilmiyor,2
22,Turkcell adı altında 20.05.2024 tarihinde avukat bürosundan aradılar. 4.826 TL borcum olduğunu gün içinde ödeme yapmazsam haciz memurlarının evime gelip zaptı tutacağını söylediler. O gün içinde bütün akrabalarımı aramışlar. Olayı çok büyümeden borcu ödedim. Fakat 14.06.2024 tarihinde bir başka avukat önce annemin erkek kardeşini aramış ona ulaşım sağlayamayınca annemin kız kardeşinin eşini aramış. Bu anayasal olarak suçtur. Turkcell gizlilik politikasında belirtildiği gibi kişinin güvenliği korunması da sözleşme onayları arasındadır. Turkcell’in vermiş olduğu avukatlar bizi rezil etmek amacıyla bütün akrabaları ve tanıdıkları aramakta ve gizlilik haklarımızı ihlal etmektedir. Avukatların tehditkâr konuşmaları ve saygısız tavırları da göz önündedir.,2
23,bekledim başka bir yere bağlıyorum dedi hat düştü,2
